Synthetic Data 1,Synthetic Data 2,Synthetic Data 3
-0.5574854,-0.5039328,0.3712722
0.13323301,1.0424943,-0.6431889
0.85020626,0.5702425,0.0949709
0.91345346,-0.6615711,-0.20827079
0.37162355,-2.308487,-1.843834
1.8044256,-1.7556974,2.2029266
-1.153605,2.0061843,-0.07872895
0.5548624,1.1015148,0.5696712
-0.52785045,-0.16434905,-0.8648687
-1.1864384,1.157542,1.6322179
0.19994304,-1.5905957,-0.28037903
-1.8399489,0.18244156,-0.46846583
-0.737231,-0.124104045,-0.1918261
-1.7057663,-0.35776582,0.41684493
-0.9134921,0.8041554,0.19297218
-0.50107604,1.1054182,-0.38503233
0.90551573,0.524131,2.0528235
-0.8629338,-0.4707881,0.04341742
-0.41525134,1.8332348,-0.120090656
-0.45253992,-0.24028337,0.08135981
0.3694964,-0.6170534,1.3629241
-0.79820627,1.4696678,-0.69175464
-0.20160222,1.820288,0.79302853
-0.13059264,1.7195911,0.8177324
-0.9305141,1.4750789,0.6007902
-0.24310762,-2.6095536,-1.8152192
-0.3833917,2.258444,0.51585585
-0.59416485,-1.2351713,-0.5274437
0.11068509,-0.7340788,-1.0963178
-0.99639034,1.0849638,0.20757985
0.11114355,-1.6205614,-0.78645307
0.024285132,2.0374753,-0.32519537
0.9386864,-0.56865513,-0.90513176
0.09617726,0.347811,0.6864527
1.3331487,-2.3345387,-1.0821271
-0.026888153,0.14449047,0.4242637
-0.46535033,0.75898176,1.107664
-0.07107771,-1.003358,-0.6381847
-1.1055369,0.62937737,1.2916195
-0.12687385,-0.7110752,-1.4175466
-1.7241465,0.7464125,-0.54973346
0.1062487,0.16261801,0.07266192
-1.5908306,0.35701552,-0.44569144
0.119302176,1.891294,0.31720012
1.2291409,-0.7620987,-0.066857785
0.3464685,1.8311262,-0.2440663
-0.74169827,0.12884338,1.3365109
1.5985796,-1.7895916,0.38952023
0.022408435,0.7003419,-0.51395655
-0.63948494,1.019083,-0.13514206
-0.54449546,0.55540556,0.6073019
0.5148595,-0.5314407,-0.11931553
-0.8118367,-0.1509701,-0.3875483
0.1351949,-2.340999,2.3096292
-0.86757725,2.4852114,0.738403
0.59707284,1.0041519,1.2184517
-0.80294156,-0.50155133,-0.77215344
-1.739678,-0.9108816,0.595579
-0.4775247,-0.62609345,-0.032719456
1.3114341,-1.7572442,-1.0245452
-0.908484,-0.34671625,0.22833353
1.6126207,0.20392913,2.228624
1.2470783,-1.3328418,0.11917002
-0.37368363,0.83528906,0.41015083
-0.74705553,-0.14040194,-0.0519873
1.1013465,-1.3763378,-1.179986
-0.26392338,-1.2152293,0.2650122
0.8055709,-1.0985708,-0.8522073
